Test,BurstTime,BurstCorrect,LeonTime,LeonCorrect,SynquidTime,SynquidCorrect
bool-always-false,0.08,\correct,0.04,\correct,0.30,\correct
bool-always-true,0.03,\correct,0.07,\correct,0.31,\correct
bool-band,0.03,\correct,6.57,\correct,0.32,\correct
bool-bor,0.05,\correct,6.62,\correct,0.30,\correct
bool-impl,0.04,\correct,6.61,\correct,0.31,\correct
bool-neg,0.03,\correct,1.63,\correct,0.29,\correct
bool-xor,0.04,\correct,3.60,\correct,0.31,\correct
list-append,0.88,\correct,44.28,\correct,0.51,\correct
list-compress,9.61,\correct,\incorrect,\na,\incorrect,\na
list-concat,2.28,\correct,11.57,\incorrect,0.39,\correct
list-drop,1.13,\correct,51.04,\correct,0.58,\correct
list-even-parity,0.19,\correct,42.82,\correct,\incorrect,\na
list-filter,1.51,\correct,\incorrect,\na,\incorrect,\na
list-fold,3.44,\correct,\incorrect,\na,\incorrect,\na
list-hd,0.32,\correct,3.82,\correct,0.29,\correct
list-inc,1.68,\correct,5.30,\correct,0.48,\correct
list-last,0.43,\correct,12.30,\correct,\incorrect,\na
list-length,0.40,\correct,8.45,\correct,\incorrect,\na
list-map,2.87,\correct,\incorrect,\na,\incorrect,\na
list-nth,1.13,\correct,\incorrect,\na,\incorrect,\na
list-pairwise-swap,0.90,\correct,37.27,\incorrect,\incorrect,\na
list-rev-append,1.53,\correct,12.87,\correct,\incorrect,\na
list-rev-fold,1.97,\correct,13.87,\correct,\incorrect,\na
list-rev-snoc,1.43,\incorrect,13.57,\incorrect,\incorrect,\na
list-rev-tailcall,\incorrect,\na,\incorrect,\na,\incorrect,\na
list-snoc,0.87,\correct,27.68,\correct,0.40,\correct
list-sort-sorted-insert,11.79,\correct,7.53,\correct,\incorrect,\na
list-sorted-insert,4.78,\correct,\incorrect,\na,\incorrect,\na
list-stutter,3.11,\correct,8.36,\correct,0.44,\correct
list-sum,1.04,\correct,12.15,\correct,0.44,\correct
list-take,11.02,\incorrect,\incorrect,\incorrect,0.47,\correct
list-tl,0.36,\correct,2.55,\correct,0.30,\correct
nat-add,\incorrect,\na,19.38,\correct,\incorrect,\na
nat-iseven,0.03,\correct,9.11,\correct,0.34,\correct
nat-max,\incorrect,\na,25.48,\incorrect,0.56,\correct
nat-pred,0.02,\correct,2.77,\correct,0.31,\correct
tree-binsert,\incorrect,\na,\incorrect,\na,\incorrect,\na
tree-collect-leaves,8.29,\correct,9.01,\correct,\incorrect,\na
tree-count-leaves,8.16,\correct,5.71,\correct,9.77,\incorrect
tree-count-nodes,13.49,\correct,5.31,\correct,16.26,\incorrect
tree-inorder,64.82,\correct,5.86,\correct,\incorrect,\na
tree-map,11.79,\correct,\incorrect,\na,\incorrect,\na
tree-nodes-at-level,42.73,\correct,\incorrect,\na,\incorrect,\na
tree-postorder,23.21,\correct,10.42,\correct,\incorrect,\na
tree-preorder,18.99,\correct,8.12,\correct,\incorrect,\na
